,country_name,years,women_owner,women_agri,women_eng,women_employ_ratio,men_employ_ratio,employ_ratio_total,advanced_women,advanced_men,advanced_studies,basic_women,basic_men,basic_studies,intermediate_women,intermediate_men,intermediate_studies,force_women,women_bussines,women_tech
0,Brazil,2009,50.2,39.35049,29.5217,50.43000031,74.05000305,61.72999954,80.26000214,88.98999786,83.91999817,51.72000122,77.69000244,64.76000214,70.98999786,88.12999725,78.91999817,42.69913798,53.76422,18.39748
1,Brazil,2014,49.13243243243244,45.57245,34.96844,47.29999924,69.79000092,58.0,80.61000061,84.29000092,82.48000336,54.36999893,83.0,68.81999969,77.58000183,88.18000031,82.05000305,42.38038245,57.56531,15.29114
2,Brazil,2019,48.064864864864866,48.107820000000004,31.649952000000003,46.06999969,65.18000031,55.13999939,77.43000031,86.83999634,81.37000275,35.18999863,59.77000046,47.29999924,65.83999634,84.19000244,74.45999908,43.89710895,57.25107333333333,17.678403333333332
3,Canada,1994,46.9972972972973,50.643190000000004,28.331464,51.88000107,65.13999939,58.38000107,74.23000336,84.44999695,79.41999817,42.97999954,64.51999664,53.75999832,63.93000031,78.69999695,70.79000092,44.73283355,56.936836666666665,20.065666666666665
4,Canada,1999,45.92972972972973,53.178560000000004,25.012976000000002,54.61999893,66.72000122,60.56000137,74.12999725,82.91000366,78.55000305,41.91999817,60.88999939,51.45999908,63.93999863,77.69999695,70.43000031,45.50963825,56.6226,22.45293
5,Canada,2004,44.862162162162164,55.71393,21.694488,57.74000168,67.69999695,62.63999939,75.12999725,82.12999725,78.61000061,43.27000046,59.90000153,51.79000092,64.73999786,77.20999908,70.73000336,46.44866238,56.30836333333333,24.840193333333332
6,Canada,2009,43.7945945945946,58.2493,18.376,58.04999924,65.05000305,61.49000168,75.05000305,80.44999695,77.70999908,41.18999863,56.45000076,49.06000137,61.86999893,74.23000336,67.86000061,47.03204968,55.994126666666666,27.227456666666665
7,Canada,2014,42.72702702702703,53.9768,19.20894,57.61999893,65.34999847,61.43000031,73.13999939,78.51000214,75.75,37.86000061,52.56999969,45.52999878,58.61999893,71.33000183,64.91999817,47.1899133,55.67989,29.61472
8,Canada,2019,41.65945945945946,49.795905,23.558419999999998,58.22000122,65.87000275,61.99000168,72.09999847,77.41000366,74.66999817,36.47000122,50.29999924,43.79000092,54.81999969,69.08999634,61.99000168,47.2403161,56.743761666666664,29.857035
9,Colombia,1994,40.59189189189189,45.61501,27.907899999999998,48.81999969,84.44999695,65.01999664,73.96333312666667,80.13333638333333,76.96666463333334,39.35333379,59.02333323333333,49.320000969999995,57.40333302333334,74.38666534666666,65.64666748,40.12876553,57.807633333333335,30.099349999999998
10,Colombia,1999,39.524324324324326,41.434115,32.25738,44.45999908,66.40000153,54.40999985,75.82666778333333,82.85666910666667,79.26333109666666,42.23666636,67.74666722666666,54.85000102,59.98666635666667,79.68333435333334,69.30333328,40.89034581,58.871505,30.341665
11,Colombia,2004,38.45675675675676,37.25322,36.60686,43.52999878,72.51999664,57.54000092,77.69000244,85.58000183,81.55999756,45.11999893,76.47000122,60.38000107,62.56999969,84.98000336,72.95999908,41.41048507,59.93537666666666,30.58398
12,Colombia,2009,37.389189189189196,42.55411,35.62971,45.72000122,73.26999664,59.04999924,73.73999786,80.77999878,77.0,45.15000153,80.11000061,62.40999985,60.52000046,83.90000153,71.63999939,41.79753471,60.999248333333334,30.826295
13,Colombia,2014,36.321621621621624,41.27977,33.67968,51.27999878,75.98999786,63.22999954,75.83999634,83.91000366,79.47000122,47.41999817,79.22000122,63.25999832,62.22999954,86.30000305,73.87999725,43.05258619,62.06312,31.06861
14,Colombia,2019,35.25405405405406,42.66149111111111,32.586059999999996,48.86000061,73.38999939,60.75999832,73.41000366,81.61000061,77.09999847,43.20000076,76.27999878,59.99000168,61.04999924,85.51999664,72.79000092,42.6774368,62.197322,29.680547999999998
15,Egypt,1994,34.18648648648649,44.04321222222222,31.49244,17.88999939,68.13999939,43.38000107,70.28250312750001,83.069999695,76.93749809,33.88500058425,67.8699989325,51.74250126,53.027499199999994,83.07749748,68.41500092,23.55727905,62.331524,28.292486
16,Egypt,1999,33.11891891891892,45.424933333333335,30.39882,16.32999992,68.23000336,42.75999832,67.155002595,84.52999878,76.77499771000001,24.5700004085,59.459999085,43.49500084,45.00499916,80.63499832,64.04000092,21.49837433,62.465726,26.904424
17,Egypt,2004,32.05135135135136,46.80665444444445,29.3052,10.67000008,44.09000015,27.0,64.02750206249999,85.98999786499999,76.61249733,15.25500023275,51.0499992375,35.24750042,36.98249912,78.19249916,59.66500092,21.42779598,62.599928,25.516362
18,Egypt,2009,30.983783783783785,48.18837555555555,28.211579999999998,17.67000008,68.51999664,43.54999924,60.90000153,87.44999695,76.44999695,5.940000057,42.63999939,27.0,28.95999908,75.75,55.29000092,23.27982555,62.73413,24.1283
19,Egypt,2014,29.91621621621622,49.570096666666664,27.11796,17.53000069,65.48000336,41.81000137,61.93000031,84.91999817,75.05999756,5.940000057,45.06000137,27.79999924,28.45999908,79.91000366,56.99000168,23.72009041,62.868332,22.740237999999998
20,Egypt,2019,28.848648648648652,50.95181777777778,26.024340000000002,29.275000575,61.09500122,45.150001525,68.729999545,84.14999771000001,77.189998625,21.8949992635,48.930000305,36.219999314999995,46.61499786,79.09000015000001,64.425001145,20.57403047,63.002534000000004,21.352176
21,France,1994,27.781081081081084,52.33353888888889,24.93072,41.02000046,56.70999908,48.49000168,75.52999878,83.37999725,79.31999969,37.84999847,52.79999924,44.63999939,64.76999664,78.26999664,71.86000061,44.69570464,63.136736,19.964114
22,France,1999,26.71351351351352,53.71526,23.8371,42.11999893,56.68000031,49.06999969,74.95999908,80.08000183,77.43000031,31.34000015,46.11000061,37.83000183,64.51000214,75.81999969,70.48000336,45.47592321,63.270938,18.576051999999997
23,France,2004,25.64594594594595,50.21018,22.74348,45.18999863,57.86000061,51.24000168,75.69000244,81.04000092,78.23999786,31.03000069,44.88999939,37.18999863,62.66999817,73.38999939,68.20999908,46.27605361,63.40514,17.18799
24,France,2009,24.578378378378382,40.24404,26.01111,46.91999817,56.79999924,51.63999939,76.72000122,79.76000214,78.12999725,29.20000076,43.33000183,35.52999878,61.81999969,70.31999969,66.22000122,47.20504043,61.28622,14.62936
25,France,2014,23.510810810810813,42.61796,26.20025,46.45999908,54.56999969,50.34000015,76.16000366,78.81999969,77.38999939,26.12999916,38.91999817,31.78000069,58.43000031,66.23999786,62.49000168,47.6948435,59.67668,16.69439
26,France,2019,22.443243243243245,38.74248,22.597926666666666,47.02999878,54.63000107,50.65999985,75.52999878,77.95999908,76.63999939,22.44000053,36.02999878,28.55999947,55.52999878,62.77000046,59.24000168,48.08575281,52.902926666666666,15.025179999999999
27,Germany,1994,21.37567567567568,34.867,18.995603333333335,42.84999847,64.16999817,53.09000015,76.59999847,82.66000366,80.51000214,33.95000076,60.93000031,43.65000153,60.22000122,75.16999817,67.73999786,42.61024684,46.129173333333334,13.35597
28,Germany,1999,20.30810810810811,30.99152,15.39328,44.43999863,61.61999893,52.74000168,75.54000092,77.26000214,76.62999725,32.06999969,64.58999634,43.31999969,59.02000046,70.70999908,64.87999725,43.58687575,39.35542,11.68676
29,Germany,2004,19.240540540540543,30.387785555555556,17.11449222222222,44.45000076,57.45000076,50.77000046,74.54000092,74.55999756,74.55999756,26.56999969,49.09000015,34.97000122,58.02999878,67.52999878,62.77000046,44.59215046,39.93776555555556,15.300616666666667
30,Germany,2009,18.17297297297298,29.78405111111111,18.835704444444445,49.06000137,60.83000183,54.79000092,74.23000336,73.04000092,73.52999878,29.05999947,51.75,37.75999832,59.33000183,68.08999634,63.65999985,45.45908741,40.52011111111111,18.914473333333333
31,Germany,2014,17.105405405405406,29.180316666666666,20.556916666666666,52.22999954,62.81999969,57.40000153,74.40000153,73.12000275,73.63999939,28.54999924,50.47000122,37.15000153,60.43999863,67.98000336,64.09999847,46.17170648,41.10245666666667,22.528329999999997
32,Germany,2019,16.03783783783784,28.57658222222222,22.27812888888889,55.02999878,65.08000183,59.97000122,74.13999939,74.01000214,74.06999969,30.70000076,53.27000046,40.25999832,60.65999985,68.58999634,64.47000122,46.29436164,41.684802222222224,26.142186666666667
33,India,1994,14.970270270270277,27.97284777777778,23.99934111111111,30.27000046,82.23999786,56.83000183,35.97999954,87.23999786,72.26999664,17.94000053,78.30999756,56.47000122,17.45999908,66.29000092,51.56999969,25.36609995,42.26714777777778,29.75604333333333
34,India,1999,13.902702702702705,27.369113333333335,25.720553333333335,28.306000519999998,79.869998166,54.584001158,34.89799957,85.98999786,69.781997678,17.882000348,77.62999878,55.02000122,16.729999348,65.154000858,49.497999568000004,25.53726263,42.849493333333335,33.3699
35,India,2004,12.83513513513514,26.76537888888889,27.441765555555556,26.34200058,77.499998472,52.338000486,33.8159996,84.73999786,67.293998716,17.824000165999998,76.95,53.57000122,15.999999616,64.018000796,47.425999446000006,26.2609944,43.43183888888889,36.983756666666665
36,India,2009,11.767567567567568,26.161644444444445,29.162977777777776,24.37800064,75.129998778,50.091999814000005,32.73399963,83.48999786,64.805999754,17.765999984,76.27000122,52.12000122,15.269999884,62.882000734,45.353999324,23.70396677,44.014184444444446,40.59761333333333
37,India,2014,10.7,25.55791,30.88419,22.414000700000003,72.759999084,47.845999142000004,31.65199966,82.23999786,62.318000792,17.707999802,75.59000244,50.67000122,14.540000152,61.746000672,43.281999202,20.82547544,44.59653,44.21147
38,India,2019,12.6,30.518936666666665,29.944883333333333,20.45000076,70.38999939,45.59999847,30.56999969,80.98999786,59.83000183,17.64999962,74.91000366,49.22000122,13.81000042,60.61000061,41.20999908,20.31709244,47.11581666666667,38.43362333333333
39,Italy,1994,14.5,35.47996333333333,29.005576666666666,28.39999962,57.65999985,42.40000153,78.22000122,87.18000031,83.23000336,26.44000053,60.72000122,42.63000107,57.79999924,76.19000244,67.26000214,36.50611053,49.63510333333333,32.65577666666667
40,Italy,1999,16.4,40.44099,28.06627,29.63999939,56.34000015,42.43999863,76.36000061,83.83999634,80.30999756,24.97999954,56.04000092,40.04000092,58.43000031,75.09999847,66.72000122,38.32568033,52.15439,26.87793
41,Italy,2004,18.3,43.5455,29.64636,34.52000046,58.00999832,45.77000046,77.13999939,82.26000214,79.65000153,26.20999908,53.93000031,39.83000183,59.66999817,76.30000305,67.87999725,40.03977162,52.34267,23.26022
42,Italy,2009,20.2,46.372545,32.120995,34.70000076,55.56999969,44.72000122,73.01999664,77.94000244,75.26999664,22.75,48.88999939,35.52999878,58.22999954,74.19999695,66.29000092,40.98879756,53.305009999999996,19.7622
43,Italy,2014,22.1,49.19959,34.59563,34.58000183,51.74000168,42.84000015,72.45999908,76.63999939,74.34999847,22.79999924,46.54000092,34.40999985,56.86999893,71.79000092,64.36000061,42.44087623,54.26735,16.26418
